           0            0   			 4.102246984378906858e-22   			 6.738007361787581178e-21   			 -6.327782663349690492e-21
           1            0   			 1.823220881946181135e-20   			 2.335923890505119144e-19   			 -2.153601802310501031e-19
           0            1   			 2.051123492189452803e-21   			 4.851182289044853408e-20   			 -4.646069939825908128e-20
           2            0   			 4.051601959880403894e-19   			 6.168564538031489019e-19   			 -2.116962578151085125e-19
           1            1   			 9.116104409730902894e-20   			 3.211478645464750886e-18   			 -3.120317601367441857e-18
           0            2   			 5.127808730473632399e-21   			 9.958217104334851251e-21   			 -4.830408373861218852e-21
           3            0   			 6.002373273896895675e-18   			 5.411656385356650693e-18   			 5.907168885402449820e-19
           2            1   			 2.025800979940201329e-18   			 3.438446295079524236e-17   			 -3.235866197085504103e-17
           1            2   			 2.279026102432725897e-19   			 1.819709487638242748e-18   			 -1.591806877394970158e-18
           0            3   			 8.546347884122720230e-21   			 5.068932273195961541e-21   			 3.477415610926758689e-21
           4            0   			 6.669303637663219677e-17   			 4.227146606734086446e-17   			 2.442157030929133231e-17
           3            1   			 3.001186636948446922e-17   			 3.111976491096598121e-16   			 -2.811857827401753429e-16
           2            2   			 5.064502449850503710e-18   			 2.489205720003276356e-17   			 -1.982755475018225985e-17
           1            3   			 3.798376837387876302e-19   			 1.244216057509029155e-18   			 -8.643783737702415248e-19
           0            4   			 1.068293485515340110e-20   			 3.736924029029907952e-21   			 6.946010826123493148e-21
           5            0   			 5.928269900145085161e-16   			 2.868355539274763655e-16   			 3.059914360870321506e-16
           4            1   			 3.334651818831608822e-16   			 2.408883051815785902e-15   			 -2.075417869932625020e-15
           3            2   			 7.502966592371117878e-17   			 2.683749187337954092e-16   			 -1.933452528100842304e-16
           2            3   			 8.440837416417505753e-18   			 2.103130612163372941e-17   			 -1.259046870521622366e-17
           1            4   			 4.747971046734845739e-19   			 9.689167327480524551e-19   			 -4.941196280745678812e-19
           0            5   			 1.068293485515340111e-20   			 2.899366353754417868e-21   			 7.783568501398983242e-21
           6            0   			 4.391311037144507775e-15   			 1.715735335104933504e-15   			 2.675575702039574271e-15
           5            1   			 2.964134950072541677e-15   			 1.622804364038930788e-14   			 -1.326390869031676620e-14
           4            2   			 8.336629547079022690e-16   			 2.394231481220843834e-15   			 -1.560568526512941565e-15
           3            3   			 1.250494432061852916e-16   			 2.612698459908159071e-16   			 -1.362204027846306155e-16
           2            4   			 1.055104677052188300e-17   			 1.869200133127186594e-17   			 -8.140954560749982939e-18
           1            5   			 4.747971046734845740e-19   			 7.625211484971609475e-19   			 -2.877240438236763735e-19
           0            6   			 8.902445712627833803e-21   			 2.117294367633088731e-21   			 6.785151344994745071e-21
           7            0   			 2.788133991837783997e-14   			 9.159873216216557895e-15   			 1.872146670216128208e-14
           6            1   			 2.195655518572253218e-14   			 9.654388362939650865e-14   			 -7.458732844367397647e-14
           5            2   			 7.410337375181354756e-15   			 1.813061469946983399e-14   			 -1.072027732428847923e-14
           4            3   			 1.389438257846503711e-15   			 2.577212510177552548e-15   			 -1.187774252331048837e-15
           3            4   			 1.563118040077316264e-16   			 2.518838649583438574e-16   			 -9.557206095061223101e-17
           2            5   			 1.055104677052188300e-17   			 1.573842382214130984e-17   			 -5.187377051619426840e-18
           1            6   			 3.956642538945704583e-19   			 5.600429104553383231e-19   			 -1.643786565607678648e-19
           0            7   			 6.358889794734167141e-21   			 1.403059068675159084e-21   			 4.955830726059008057e-21
           8            0   			 1.548963328798769412e-13   			 4.409637189731698301e-14   			 1.107999609825599582e-13
           7            1   			 1.394066995918891573e-13   			 5.132877366033975000e-13   			 -3.738810370115083427e-13
           6            2   			 5.489138796430633462e-14   			 1.188777109647163037e-13   			 -6.398632300040996908e-14
           5            3   			 1.235056229196892397e-14   			 2.101664953712290993e-14   			 -8.666087245153985961e-15
           4            4   			 1.736797822308129771e-15   			 2.620432461770022738e-15   			 -8.836346394618929669e-16
           3            5   			 1.563118040077316264e-16   			 2.208313168391194309e-16   			 -6.451951283138780450e-17
           2            6   			 8.792538975434902050e-18   			 1.195073502584220540e-17   			 -3.158196050407303350e-18
           1            7   			 2.826173242104074764e-19   			 3.721640533128100153e-19   			 -8.954672910240253890e-20
           0            8   			 3.974306121708856281e-21   			 8.371086388829718159e-22   			 3.137197482825884465e-21
           9            0   			 7.649201623697628597e-13   			 1.930790778238984740e-13   			 5.718410845458643857e-13
           8            1   			 7.744816643993844697e-13   			 2.463053777985214826e-12   			 -1.688572113585830356e-12
           7            2   			 3.485167489797229198e-13   			 6.857391865952132179e-13   			 -3.372224376154902981e-13
           6            3   			 9.148564660717721972e-14   			 1.457804040578007827e-13   			 -5.429475745062356297e-14
           5            4   			 1.543820286496115613e-14   			 2.217866958007996771e-14   			 -6.740466715118811579e-15
